DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
161815507,08/03/2016,08/03/2016,2302,18,Southeast,1827,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0913 1300 1402 1407 1100 0430 0906,41,M,B,104,DRIVEWAY,101,REVOLVER,IC,Invest Cont,230,,,,9400    BANDERA                      ST,,"(33.951, -118.2396)"
160120546,08/05/2016,08/04/2016,1800,01,Central,0111,815,SEXUAL PENTRATION WITH A FOREIGN OBJECT,1402 1218 1018 1206 0540,24,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,998,,,ALAMEDA,LOS ANGELES,"(34.0563, -118.2374)"
160120650,08/06/2016,08/04/2016,1600,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,1218 2004 0444 0319,61,F,B,507,CONDOMINIUM/TOWNHOUSE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)"
161714422,08/04/2016,08/04/2016,1800,17,Devonshire,1791,210,ROBBERY,0416 0429 0344 1202 1218 1601 0446 1822,62,M,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,480,,,CHASE                        ST,WINNETKA                     AV,"(34.2246, -118.571)"
160120530,08/05/2016,08/05/2016,0200,01,Central,0129,860,BATTERY WITH SEXUAL CONTACT,0448 0522 1218,28,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,TEMPLE                       ST,ALAMEDA,"(34.0511, -118.2381)"
160120566,08/05/2016,08/05/2016,0900,01,Central,0101,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2000 1814 2001 0448 0419 0429,46,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,ALISO,SPRING,"(34.0685, -118.246)"
160120575,08/05/2016,08/05/2016,1905,01,Central,0119,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1402 0907 0411,25,M,W,102,SIDEWALK,219,SCREWDRIVER,AA,Adult Arrest,230,998,,,700 N  ALAMEDA                      ST,,"(34.0544, -118.2378)"
160120585,08/05/2016,08/05/2016,2330,01,Central,0123,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1218 2004,38,F,W,102,SIDEWALK,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230,,,,HILL                         ST,TEMPLE,"(34.0565, -118.2445)"
160914946,08/05/2016,08/05/2016,0215,09,Van Nuys,0943,624,BATTERY - SIMPLE ASSAULT,0400 1218 0416 1822,32,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,AETNA                        ST,TYRONE                       AV,"(34.1802, -118.4444)"
161013723,08/06/2016,08/05/2016,2300,10,West Valley,1049,626,INTIMATE PARTNER - SIMPLE ASSAULT,2004 1218 1814 2000 0400 0448,40,F,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,VENTURA                      BL,BALBOA                       BL,"(34.1757, -118.4846)"
162114169,08/05/2016,08/05/2016,0930,21,Topanga,2107,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 0417 1218,42,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,ETON,CHASE,"(34.2246, -118.5951)"
160120613,08/06/2016,08/06/2016,1325,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,1218 0416,64,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)"
160120679,08/06/2016,08/06/2016,2115,01,Central,0157,624,BATTERY - SIMPLE ASSAULT,0416 1218,56,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5TH,SAN PEDRO,"(34.0442, -118.2439)"
160500987,08/06/2016,08/06/2016,1415,05,Harbor,0526,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 0419 1218,30,F,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,PACIFIC COAST,AVALON,"(33.7798, -118.2656)"
161220436,08/06/2016,08/06/2016,1755,12,77th Street,1268,625,OTHER ASSAULT,1218 0913 2004 0416,25,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,625,,,,100 E  84TH                         PL,,"(33.9619, -118.2739)"
160120711,08/08/2016,08/07/2016,1910,01,Central,0192,820,ORAL COPULATION,1218 0504 0532 0537 0448,57,F,W,516,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,820,,,,1600 S  HOPE                         ST,,"(34.0363, -118.2677)"
160120713,08/07/2016,08/07/2016,1830,01,Central,0162,624,BATTERY - SIMPLE ASSAULT,0416 0429 1218,46,M,W,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,600 W  9TH                          ST,,"(34.0462, -118.2585)"
160120719,08/07/2016,08/07/2016,1955,01,Central,0143,210,ROBBERY,0444 0344 1218,18,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5TH                          ST,HILL                         ST,"(34.0488, -118.2518)"
160120729,08/08/2016,08/07/2016,0800,01,Central,0141,624,BATTERY - SIMPLE ASSAULT,2004 1218 0417,33,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4TH,FIGUEROA,"(34.0537, -118.2558)"
160120843,08/09/2016,08/07/2016,0500,01,Central,0166,220,ATTEMPTED ROBBERY,0416 0337 1218 0202,28,F,B,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)"
160814131,08/07/2016,08/07/2016,1945,08,West LA,0857,624,BATTERY - SIMPLE ASSAULT,1822 1300 1402 0447 1218,58,M,W,103,ALLEY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,998,,,9000    ALCOTT                       ST,,"(34.0531, -118.3941)"
161013778,08/08/2016,08/07/2016,2000,10,West Valley,1029,815,SEXUAL PENTRATION WITH A FOREIGN OBJECT,0429 1218 1814 0515,53,F,W,301,GAS STATION,212,BOTTLE,IC,Invest Cont,815,,,,15600    SHERMAN                      WY,,"(34.2012, -118.4738)"
161317123,08/07/2016,08/07/2016,1210,13,Newton,1352,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307 1218,59,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,4400    WALL                         ST,,"(34.0039, -118.2717)"
160120717,08/08/2016,08/08/2016,0230,01,Central,0147,624,BATTERY - SIMPLE ASSAULT,0416 0417 1218,52,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5TH                          ST,SAN JULIAN                   ST,"(34.0446, -118.245)"
160215170,08/08/2016,08/08/2016,0030,02,Rampart,0265,210,ROBBERY,1218 0312 0334 0337 0345 0355,36,M,W,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,210,,,,8TH                          ST,ALVARADO,"(34.0549, -118.2778)"
161420875,08/08/2016,08/08/2016,0340,14,Pacific,1413,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218 2004,65,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,3RD,ROSE,"(33.997, -118.4761)"
161420914,08/09/2016,08/08/2016,0910,14,Pacific,1489,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 1218 2004,29,F,W,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,94TH                         ST,HINDRY                       AV,"(33.9509, -118.3725)"
162114389,08/08/2016,08/08/2016,1930,21,Topanga,2156,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2000 0401 2004 0906,21,F,W,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,21800    OXNARD                       ST,,"(34.1865, -118.6017)"
160101156,08/09/2016,08/09/2016,1800,01,Central,0166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 0429,56,F,B,102,SIDEWALK,308,STICK,IC,Invest Cont,230,,,,6TH                          ST,SAN JULIAN                   ST,"(34.0428, -118.2461)"
160120821,08/09/2016,08/09/2016,0500,01,Central,0111,121,"RAPE, FORCIBLE",0500 1218 2004,,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,LOS ANGELES,ALAMEDA,"(34.0563, -118.2374)"
160120854,08/09/2016,08/09/2016,2100,01,Central,0147,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2004 2000 1814 0319 2002 1206 0416 0429,65,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,300 E  5TH                          ST,,"(34.0453, -118.2443)"
160120886,08/10/2016,08/09/2016,2200,01,Central,0166,121,"RAPE, FORCIBLE",1218 0500,34,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)"
160120898,08/10/2016,08/09/2016,0950,01,Central,0165,624,BATTERY - SIMPLE ASSAULT,1218 0416,25,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,200 E  6TH                          ST,,"(34.0446, -118.249)"
160318593,08/09/2016,08/09/2016,1600,03,Southwest,0359,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1822 0416,55,F,W,102,SIDEWALK,311,HAMMER,IC,Invest Cont,230,,,,FLOWER                       ST,39TH                         ST,"(34.014, -118.2816)"
160514285,08/09/2016,08/09/2016,1500,05,Harbor,0564,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 0421 1218,57,F,H,128,BUS STOP OR LAYOVER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,930,,,,100 W  7TH                          ST,,"(33.7378, -118.2804)"
160915189,08/09/2016,08/09/2016,1500,09,Van Nuys,0964,440,THEFT PLAIN - PETTY ($950 & UNDER),0352 1420 1218 0344,34,M,W,404,DEPARTMENT STORE,,,AA,Adult Arrest,440,,,,14000    RIVERSIDE                    DR,,"(34.1576, -118.438)"
161114566,08/09/2016,08/09/2016,0345,11,Northeast,1124,624,BATTERY - SIMPLE ASSAULT,1218 2004 0416,57,M,H,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,FLETCHER,GLENDALE                     FY,"(34.1179, -118.2451)"
160120951,08/10/2016,08/10/2016,1600,01,Central,0157,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2004 1813 1814 0408 0444 0421 0429 0319 2000,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,500 E  6TH                          ST,,"(34.0423, -118.2452)"
160101155,08/10/2016,08/10/2016,0005,01,Central,0119,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 0417,51,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,900 N  VIGNES                       ST,,"(34.0566, -118.2319)"
160215307,08/10/2016,08/10/2016,1110,02,Rampart,0216,210,ROBBERY,0344 0432 0355 1218,41,M,W,102,SIDEWALK,113,SIMULATED GUN,IC,Invest Cont,210,,,,ROSEMONT                     AV,SANTA YNEZ,"(34.0759, -118.2668)"
160120939,08/11/2016,08/11/2016,0145,01,Central,0158,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2004 1218 1813 1814 0416,55,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,7TH                          ST,CENTRAL                      AV,"(34.0368, -118.2412)"
160120982,08/12/2016,08/11/2016,1300,01,Central,0155,624,BATTERY - SIMPLE ASSAULT,0416 1218,,F,B,726,POLICE FACILITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,200 E  6TH                          ST,,"(34.0448, -118.2474)"
160120989,08/11/2016,08/11/2016,1900,01,Central,0155,624,BATTERY - SIMPLE ASSAULT,0416 0429 2004 1218,51,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,WALL,"(34.0435, -118.2471)"
160318694,08/11/2016,08/11/2016,0950,03,Southwest,0353,624,BATTERY - SIMPLE ASSAULT,1218 1822 0429,56,M,B,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,CRENSHAW,COLISEUM,"(34.0199, -118.3354)"
161815914,08/11/2016,08/11/2016,1330,18,Southeast,1802,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1609 1218 1202 0913,59,M,B,101,STREET,310,CONCRETE BLOCK/BRICK,IC,Invest Cont,230,,,,200 W  87TH                         ST,,"(33.9586, -118.2761)"
160121066,08/12/2016,08/12/2016,2050,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411 2004 1218,25,M,B,101,STREET,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230,,,,5TH                          ST,STANFORD,"(34.0426, -118.2412)"
161220848,08/12/2016,08/12/2016,1240,12,77th Street,1245,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0913 1218 0446 0359 1402,42,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",308,STICK,AO,Adult Other,230,,,,6800 S  NORMANDIE                    AV,,"(33.9778, -118.3003)"
160121106,08/13/2016,08/13/2016,1200,01,Central,0146,624,BATTERY - SIMPLE ASSAULT,0416 0446 1218,61,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5TH,LOS ANGELES,"(34.0461, -118.2476)"
160121132,08/13/2016,08/13/2016,2215,01,Central,0118,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",1218 0344,52,M,B,109,PARK/PLAYGROUND,,,IC,Invest Cont,341,,,,1500 N  BROADWAY,,"(34.0713, -118.2291)"
161114789,08/14/2016,08/13/2016,2230,11,Northeast,1149,624,BATTERY - SIMPLE ASSAULT,0416 1822 1218,60,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,FIGUEROA,AVENUE 53,"(34.1068, -118.1984)"
161114797,08/14/2016,08/13/2016,1350,11,Northeast,1159,624,BATTERY - SIMPLE ASSAULT,2000 0448 0444 0429 1218 0408 1813 2004,47,F,H,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4700 N  FIGUEROA                     ST,,"(34.1002, -118.2038)"
160121162,08/14/2016,08/14/2016,1410,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1817 1218 0913 0416 0305,35,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,5TH,SAN PEDRO,"(34.0442, -118.2439)"
160121190,08/14/2016,08/14/2016,1700,01,Central,0148,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1218 2004 0344,28,F,B,102,SIDEWALK,,,IC,Invest Cont,626,,,,5TH                          ST,TOWNE,"(34.043, -118.242)"
160800874,08/15/2016,08/14/2016,2240,08,West LA,0853,330,BURGLARY FROM VEHICLE,0344 1218,42,F,H,104,DRIVEWAY,,,AO,Adult Other,330,998,,,11300    IOWA                         AV,,"(34.0453, -118.4474)"
160814445,08/14/2016,08/14/2016,0200,08,West LA,0872,121,"RAPE, FORCIBLE",1218 1251 0327 0342 0527,33,F,W,117,BEACH,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,14800    PCH,,"(34.0279, -118.5188)"
161221004,08/14/2016,08/14/2016,2350,12,77th Street,1266,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1823 1310 1218 2004 0408 0305 0407 0432,31,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,79TH                         ST,GRAND                        AV,"(33.9679, -118.2803)"
161500977,08/14/2016,08/14/2016,0200,15,N Hollywood,1539,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1402 1414 1310 1302 1311 0416 0427,80,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,,,,OXNARD,WHITSETT,"(34.1758, -118.3643)"
161516453,08/14/2016,08/14/2016,0200,15,N Hollywood,1539,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 1414 1310 1302 1311 0427 0400 1402,58,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,,,,OXNARD,CAHUENGA,"(34.1794, -118.3615)"
161816057,08/14/2016,08/14/2016,0155,18,Southeast,1801,761,BRANDISH WEAPON,1501 1402 2000 1814 1206 2004 1218,59,F,B,518,,215,MACHETE,AO,Adult Other,761,,,,MANCHESTER                   AV,HOOVER                       AV,"(33.9601, -118.2881)"
160121224,08/15/2016,08/15/2016,1140,01,Central,0166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0400,48,F,B,102,SIDEWALK,513,STUN GUN,IC,Invest Cont,230,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)"
160121225,08/15/2016,08/15/2016,1010,01,Central,0166,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1218,48,F,B,517,,,,IC,Invest Cont,341,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)"
160121229,08/15/2016,08/15/2016,0910,01,Central,0157,210,ROBBERY,1218 0416 0344,52,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,7TH,SAN PEDRO,"(34.0407, -118.2468)"
160121252,08/15/2016,08/15/2016,2200,01,Central,0157,624,BATTERY - SIMPLE ASSAULT,1416 1218 2004,66,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)"
160215610,08/15/2016,08/15/2016,1140,02,Rampart,0275,624,BATTERY - SIMPLE ASSAULT,0305 0448 0429 1218,48,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,OLYMPIC                      BL,BURLINGTON                   AV,"(34.0503, -118.2765)"
160215639,08/15/2016,08/15/2016,1750,02,Rampart,0275,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1218 0913,36,M,W,107,VACANT LOT,,,IC,Invest Cont,745,,,,1600 W  11TH                         ST,,"(34.0506, -118.2769)"
161916587,08/15/2016,08/15/2016,0930,19,Mission,1982,210,ROBBERY,0411 0445 0446 0342 1218 0416 0334 0355 0369 0906,30,M,H,109,PARK/PLAYGROUND,207,OTHER KNIFE,IC,Invest Cont,210,,,,KESTER,PARTHENIA,"(34.2301, -118.4633)"
160121265,08/16/2016,08/16/2016,0530,01,Central,0135,901,VIOLATION OF RESTRAINING ORDER,1501 1218 2004,53,F,B,726,POLICE FACILITY,,,AO,Adult Other,901,,,,100 E  3RD                          ST,,"(34.0496, -118.2458)"
160121266,08/16/2016,08/16/2016,0420,01,Central,0145,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2004 1206,56,M,B,102,SIDEWALK,221,GLASS,AA,Adult Arrest,230,,,,5TH,LOS ANGELES,"(34.0461, -118.2476)"
