X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.28808175541279,33.739378407716501,96178486,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Wecan House,505 S. Pacific Ave.,,San Pedro,CA,,,,www.jointefforts.org,,,4103,"The Agency Provides Drug Abuse Services, Family Life Education, A Transitional Shelter, And Welfare-To-Work Support Services To People In The South Bay, Harbor Gateway And Long Beach Areas.  Age And Geographic Restrictions Apply For Some Services.",90731,http://egis3.lacounty.gov/lms/?p=4103,publish,33.73937844,-118.2880817,2010-11-01T19:50:56.000Z,,6474080.68852913,1727659.22507665
-118.12464905654582,34.149850456680774,96178490,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,"Serra Project, The",1245 E. Walnut St.,Ste. 106,Pasadena,CA,,,,www.serraproject.org,,,4107,The Agency Provides Housing Services And Transitional Shelter For Men And Women With Children Who Have Aids. Or Are Hiv Positive In Los Angeles County.,91106,http://egis3.lacounty.gov/lms/?p=4107,publish,34.14985049,-118.124649,2010-11-01T19:50:56.000Z,,6523956.68949872,1876937.20834422
-118.192735656820545,33.89643595757228,96178495,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Homeless Shelter For Women And Children,4513 E. Compton Blvd.,,Compton,CA,"Monday through Thursday, 8:00am to 12:00 noon",,,www.cwroshelter.org,,,4150,"The Agency Provides Shelter For Homeless Single Women And Women With Children Who Are In Los Angeles County.  The Shelter May Assist Women Who Have Mental/Emotional Problems; The Shelter Is Also Accessible For Women Who Use Wheelchairs.",90221,http://egis3.lacounty.gov/lms/?p=4150,publish,33.89643599,-118.1927356,2010-11-01T19:50:56.000Z,,6503179.69102655,1784747.21982431
-118.136099956206792,34.169273816415007,96178496,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Urdc Human Services Corporation - Casa Maria,691 E. Washington Blvd.,,Pasadena,CA,,,,www.urdchsc.org,,,4151,The Agency Provides Shelter For Homeless Women Age 18 And Older Who Have A History Of Substance Abuse And Who Are In Pasadena.,91104,http://egis3.lacounty.gov/lms/?p=4151,publish,34.16927385,-118.1360999,2010-11-01T19:50:56.000Z,,6520501.69279981,1884010.20961815
-118.493772955516164,34.02738888655896,96178497,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Upward Bound - Family Place,1020 12Th St.,,Santa Monica,CA,,,,www.upwardboundhouse.org,,,4152,The Agency Provides Transitional Shelter For Homeless Families With Children In West Los Angeles County.  Services Are Restricted To Santa Monica And West Los Angeles Residents.,90403,http://egis3.lacounty.gov/lms/?p=4152,publish,34.02738892,-118.4937729,2010-11-01T19:50:56.000Z,,6412056.69020206,1832715.20951806
-117.772774157436416,34.051143247556567,96178498,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Foothill Family Shelter,1501 W. 9Th St.,Ste. D,Upland,CA,"Monday through Sunday, 9:00am to 6:00pm.",,,www.foothillfamilyshelter.org,,,4153,The Agency Provides Transitional Shelter For Homeless Families With Children.  It Is Not An Emergency Shelter.,91786,http://egis3.lacounty.gov/lms/?p=4153,publish,34.05114328,-117.7727741,2010-11-01T19:50:56.000Z,,6630500.65980931,1841070.22135131
-118.265789455954277,34.057538506698478,96178499,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,La Posada,375 S. Columbia Ave.,,Los Angeles,CA,Window Service Hours,,,www.neweconomicsforwomen.org,,,4154,The Agency Provides Transitional Shelter For Single Women With A Child Or Pregnant With Their First Child.,90017,http://egis3.lacounty.gov/lms/?p=4154,publish,34.05753854,-118.2657894,2010-11-01T19:50:56.000Z,,6481164.68059473,1843426.21204615
-118.194127856119806,33.783388777613098,96228064,211,,Social Services,Homeless Shelters and Services,,www.lbrm.org,Long Beach Rescue Mission,1335 Pacific Ave,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake and Administration (562) 591-1292, Long Beach Multi-Service Center Service/Intake (562) 733-1147,  FAX (562) 216-7667",,www.lbrm.org,,,56479,"The agency provides emergency food, shelter, clothing, counsel, spiritually-based adult rehabilitation transitional housing programs.",90813,http://egis3.lacounty.gov/lms/?p=56479,publish,33.78338881,-118.1941278,2013-06-01T11:50:56.000Z,,6502677.73960264,1743607.33524072
-118.488089055960742,34.013875966464568,96228098,211,,Social Services,Homeless Shelters and Services,,www.opcc.org,Ocean Park Community Center - Access Center,503 Olympic Blvd.,,Santa Monica,CA,"Monday, Wednesday, Thursday, and Friday, 9:00am to 5:00pm; Tuesday, 1:00pm to 5:00pm; and Saturday, 9:00am to 11:00am. ","Volunteer Coordinator Administrative (310) 450-4050 Ext.131, Shelter Referral Service/Intake (310) 450-4050",,www.opcc.org,,,56594,"The agency administers a variety of services including counseling, clothing, emergency food, homeless support services, shelter and volunteer opportunities for people who live in the Santa Monica and West Los Angeles areas.",90401,http://egis3.lacounty.gov/lms/?p=56594,publish,34.013876,-118.488089,2013-06-01T11:50:56.000Z,,6413755.02473189,1827789.23347764
-118.48909105585021,34.013653966955445,96228103,211,,Social Services,Homeless Shelters and Services,,www.opcc.org,Ocean Park Community Center - Samoshel,505 Olympic Blvd.,,Santa Monica,CA,"Monday through Sunday, 24 hours per day. ","Shelter Referral Service/Intake (310) 450-4050, Homeless Support Svcs Info Service/Intake (310) 581-9825",,www.opcc.org,,,56595,"The agency administers a variety of services including counseling, clothing, emergency food, homeless support services, shelter and volunteer opportunities for people who live in the Santa Monica and West Los Angeles areas.",90401,http://egis3.lacounty.gov/lms/?p=56595,publish,34.013654,-118.489091,2013-06-01T11:50:56.000Z,,6413450.97809589,1827709.92031606
-118.600859055627481,34.197261966356997,96228188,211,,Social Services,Homeless Shelters and Services,,NULL,Catholic Charities Of Los Angeles - Guadalupe Community Center,21600 Hart St.,,Canoga Park,CA,"Monday through Friday, 9:00am to 8:30pm. ","Service/Intake and Administration (818) 340-2050, Older Adults services Service/Intake (818) 340-5100",,,,,56642,"The agency is a community center which provides adult education, early childhood education, emergency food (through its Loaves and Fishes IV program), employment services for refugees, holiday assistance, youth recreation programs and senior programs for people in a specific area of the San Fernando Valley.",91303,http://egis3.lacounty.gov/lms/?p=56642,publish,34.197262,-118.600859,2013-06-01T11:50:56.000Z,,6379979.39182398,1894710.77384689
-118.25667015586437,33.938145287207405,96228334,211,,Social Services,Homeless Shelters and Services,,www.wlcac.org,Watts Labor Community Action Committee - Homeless Access Center,958 E 108Th St,,Los Angeles,CA,,Access Center and Shelter Service/Intake (323) 563-4721,,www.wlcac.org,,,56802,"The agency provides a homeless support services access center and shelter services, primarily for families who live in Los Angeles zip code 90059.",90059,http://egis3.lacounty.gov/lms/?p=56802,publish,33.93814532,-118.2566701,2013-06-01T11:50:56.000Z,,6483815.89674897,1799969.52008832
-118.222590055947293,34.052047966646633,96228338,211,,Social Services,Homeless Shelters and Services,,www.jovenesinc.org,Jovenes Inc - La Posada Shelter,1320 Pleasant Ave.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake (323) 260-8035,,www.jovenesinc.org,,,56804,The agency provides a multipurpose center which offers a variety of services for people who are in the Los Angeles area.,90033,http://egis3.lacounty.gov/lms/?p=56804,publish,34.052048,-118.22259,2013-06-01T11:50:56.000Z,,6494245.01204555,1841396.31617156
-118.478322055915868,33.998085966856785,96228354,211,,Social Services,Homeless Shelters and Services,,www.stjosephctr.org,St. Joseph Center,204 Hampton Dr.,,Venice,CA,"Monday through Friday, 9:00am to 5:00pm. ","Homeless Service Center Information Only (310) 399-6878, MAP Program Service/Intake (310) 396-6556,  Service/Intake and Administration (310) 396-6468,  FAX (310) 392-8402, Culinary Training Service/Intake (310) 450-9095,  Service/Intake (310) 396-6468 Ext",,www.stjosephctr.org,,,56820,The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.,90291,http://egis3.lacounty.gov/lms/?p=56820,publish,33.998086,-118.478322,2013-06-01T11:50:56.000Z,,6416687.5460978,1822028.76730831
-118.466430056198249,34.000822966702401,96228358,211,,Social Services,Homeless Shelters and Services,,www.stjosephctr.org,St. Joseph Center - Homeless Service Center,404 S. Lincoln Blvd.,,Venice,CA,,Homeless Program Service/Intake (310) 399-6878,,www.stjosephctr.org,,,56823,The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.,90291,http://egis3.lacounty.gov/lms/?p=56823,publish,34.000823,-118.46643,2013-06-01T11:50:56.000Z,,6420296.69111048,1823007.8677123
-118.291424056234902,33.735030967566409,96228432,211,,Social Services,Homeless Shelters and Services,,www.harborinterfaith.org,Harbor Interfaith Family Shelter Program,663 W. 10th St.,,San Pedro,CA,"Monday through Sunday, 24 hours per day. ",Shelter Service/Intake (310) 831-0589,,www.harborinterfaith.org,,,56892,"The agency provides advocacy services, emergency food, employment services, information and referral and shelter for people who live in the South Bay area.",90731,http://egis3.lacounty.gov/lms/?p=56892,publish,33.735031,-118.291424,2013-06-01T11:50:56.000Z,,6473059.89627938,1726079.99529548
-118.494661056259986,34.011040967003474,96228504,211,,Social Services,Homeless Shelters and Services,,www.opcc.net,Daybreak Center,1614 Ocean Ave.,,Santa Monica,CA,,"Service/Intake (310) 393-4344, Volunteer Coordinator Service/Intake (310) 393-6045",,www.opcc.net,,,56930,"The agency provides advocacy, emergency food, holiday assistance, homeless support services, mental health services for mentally ill women, shelter and volunteer opportunities primarily in West Los Angeles and Santa Monica area.",90401,http://egis3.lacounty.gov/lms/?p=56930,publish,34.011041,-118.494661,2013-06-01T11:50:56.000Z,,6411758.31973581,1826767.26832998
-118.148649056274493,34.13874896713947,96228551,211,,Social Services,Homeless Shelters and Services,,www.unionstationhs.org,Union Station - Adult Center,412 Raymond Ave.,,Pasadena,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake and Administration (626) 240-4550,,www.unionstationhs.org,,,56960,"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area.",91105,http://egis3.lacounty.gov/lms/?p=56960,publish,34.138749,-118.148649,2013-06-01T11:50:56.000Z,,6516689.31164506,1872907.04875365
-118.133424056549686,34.157959966391232,96228553,211,,Social Services,Homeless Shelters and Services,,www.unionstationhs.org,Union Station Family Center,825 E. Orange Grove Blvd.,,Pasadena,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake and Administration (626) 240-4550,,www.unionstationhs.org,,,56961,"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area.",91104,http://egis3.lacounty.gov/lms/?p=56961,publish,34.15796,-118.133424,2013-06-01T11:50:56.000Z,,6521305.6557588,1879891.81234315
-118.146796556338785,34.128332537211016,96228554,211,,Social Services,Homeless Shelters and Services,,www.unionstationhs.org,Union Station's Shelter Intake - Passageways,1020 S Arroyo Pkwy,,Pasadena,CA,,Shelter Intake/Referral Service/Intake (626) 403-4888,,www.unionstationhs.org,,,56962,"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area.",91105,http://egis3.lacounty.gov/lms/?p=56962,publish,34.12833257,-118.1467965,2013-06-01T11:50:56.000Z,,6517244.33973446,1869115.49859397
-118.223082056644984,34.046631967218573,96228603,211,,Social Services,Homeless Shelters and Services,,www.proyectopastoral.org,Guadalupe Homeless Project/Cem,171 S. Gless St.,,Los Angeles,CA,"Monday through Sunday, 2:00pm to 5:00am. ","Men's Shelter Service/Intake (323) 881-0031, Community in Action/CEM Service/Intake (323) 881-0032",,www.proyectopastoral.org,,,57005,"The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.",90033,http://egis3.lacounty.gov/lms/?p=57005,publish,34.046632,-118.223082,2013-06-01T11:50:56.000Z,,6494091.60487205,1839425.66361681
-118.227871056642272,34.048870967229242,96228607,211,,Social Services,Homeless Shelters and Services,,www.proyectopastoral.org,Proyecto Pastoral At Dolores Mission,135 N. Mission Rd.,,Los Angeles,CA,,"Thrift Store Service/Intake (323) 881-0017, Community In Action/CEM Service/Intake (323) 881-0019,  Service/Intake and Administration (323) 881-0018,  FAX (323) 268-7228",,www.proyectopastoral.org,,,57006,"The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.",90033,http://egis3.lacounty.gov/lms/?p=57006,publish,34.048871,-118.227871,2013-06-01T11:50:56.000Z,,6492642.71210055,1840243.73153448
-118.301205056487902,34.098263967097985,96228677,211,,Social Services,Homeless Shelters and Services,,NULL,Hope Again,5121 Sunset Blvd.,,Los Angeles,CA,,"FAX (323) 661-6172,  Service/Intake and Administration (323) 661-4004",,,,,57051,The agency provides case management and shelter for people in Los Angeles County.,90027,http://egis3.lacounty.gov/lms/?p=57051,publish,34.098264,-118.301205,2013-06-01T11:50:56.000Z,,6470481.99723572,1858277.17020506
-118.469299056468572,34.232021966013306,96228810,211,,Social Services,Homeless Shelters and Services,,www.nvcsinc.org,North Valley Caring Services Inc,15453 Rayen St.,,North Hills,CA,"Monday through Friday, 8:00am to 5:00pm. ","Service/Intake (818) 891-0481,  FAX (818) 830-2007",,www.nvcsinc.org,,,57148,"The agency provides education services, emergency food, holiday assistance, homeless support services and recreational programs for people who live in North Hills.",91343,http://egis3.lacounty.gov/lms/?p=57148,publish,34.232022,-118.469299,2013-06-01T11:50:56.000Z,,6419819.93254955,1907148.66006032
-118.244858056858192,34.04311396705743,96228858,211,,Social Services,Homeless Shelters and Services,,www.urm.org,Union Rescue Mission,545 S. San Pedro St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake and Administration (213) 347-6300, Volunteer Opportunities Service/Intake (213) 347-6300 Ext.1149, Other donations Service/Intake (213) 347-6300 Ext.1023,  FAX (213) 612-0260, Vehicle donations Service/Intake (800) 833-0078",,www.urm.org,,,57174,The agency provides Christian-oriented social services for people of all ages in the Skid Row area of downtown Los Angeles.,90013,http://egis3.lacounty.gov/lms/?p=57174,publish,34.043114,-118.244858,2013-06-01T11:50:56.000Z,,6487491.84674613,1838160.75276081
-118.028569056954453,34.143962967185089,96228865,211,,Social Services,Homeless Shelters and Services,,NULL,Arcadia Welfare And Thrift Shop,323 N. First St.,,Arcadia,CA,"Monday through Friday, 9:00am to 4:30pm ","Thrift Shop Service/Intake (626) 447-2881,  Service/Intake (626) 447-6864",,,,,57177,"The agency provides emergency food, financial assistance, household goods, motel vouchers, personal goods and thrift shops for people in Arcadia, including people who are homeless.",91006,http://egis3.lacounty.gov/lms/?p=57177,publish,34.143963,-118.028569,2013-06-01T11:50:56.000Z,,6553025.91679323,1874772.48924848
-118.243105056848918,34.0435119670299,96228872,211,,Social Services,Homeless Shelters and Services,,NULL,Emmanuel Baptist Rescue Mission,530 E. Fifth St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake and Administration (213) 626-4681,,NULL,,,57178,"The agency provides emergency food, holiday assistance and shelter for homeless men in the Skid Row area of downtown Los Angeles.",90013,http://egis3.lacounty.gov/lms/?p=57178,publish,34.043512,-118.243105,2013-06-01T11:50:56.000Z,,6488023.25841297,1838304.30332673
-118.345106055855865,33.894522967204807,96228877,211,,Social Services,Homeless Shelters and Services,,www.hoy-southbay.org,House Of Yahweh,4046 W. Marine Ave.,,Lawndale,CA,"Monday through Saturday, 9:00am to 3:30pm. ","Thrift Shop Service/Intake (310) 644-9301,  Administrative (310) 675-1384, Shelter or Food Intake Service/Intake (310) 675-6412",,,,,57180,"The agency provides emergency food, homeless support services, personal goods, shelter and thrift shops for individuals and families who are in crisis and who live in the South Bay and Southwest areas of Los Angeles County.",90260,http://egis3.lacounty.gov/lms/?p=57180,publish,33.894523,-118.345106,2013-06-01T11:50:56.000Z,,6456936.67393272,1784174.7508249
-118.38805605601938,34.21335496633349,96228922,211,,Social Services,Homeless Shelters and Services,,www.lafh.org/,L A Family Housing Corporation,7843 Lankershim Blvd.,,North Hollywood,CA,"Monday through Friday, 8:30am to 5:00pm. ","Service/Intake and Administration (818) 982-4091,  FAX (818) 982-3895",,www.lafh.org/,,,57219,"The agency provides consumer assistance, employment services, homeless support services, shelter and volunteer opportunities for people in the San Fernando Valley and in East Los Angeles.",91605,http://egis3.lacounty.gov/lms/?p=57219,publish,34.213355,-118.388056,2013-06-01T11:50:56.000Z,,6444350.09477521,1900250.72634964
-118.286924056204128,33.737684967266816,96228977,211,,Social Services,Homeless Shelters and Services,,www.rainbowservicesdv.org,"Rainbow Services, Ltd.",453 W. 7th St.,,San Pedro,CA,"Monday through Sunday, 24 hours per day. ","FAX (310) 548-0611, Service Center Service/Intake and Administration (310) 548-5450, 24 Hours Service/Intake and Hotline (310) 547-9343",,www.rainbowservicesdv.org,,,57269,The agency provides domestic violence services and shelter for individuals of all ages in Los Angeles County.,90731,http://egis3.lacounty.gov/lms/?p=57269,publish,33.737685,-118.286924,2013-06-01T11:50:56.000Z,,6474430.92044023,1727041.92644247
-118.137546057502291,34.703080965894486,96229003,211,,Social Services,Homeless Shelters and Services,,valleyoasis.org,Antelope Valley Domestic Violence Council - Homeless Solutions Access Center,45134 N. Sierra Hwy.,,Lancaster,CA,"Wednesday, by appointment only.  Monday, Tuesday, Thursday, Friday, 2:00pm to 5:00pm, by appointment only. ","Homeless Solutions Access Center Service/Intake (661) 942-2758,  FAX (661) 942-2079",,valleyoasis.org,,,57287,"The agency provides domestic violence services, homeless support services, shelter and thrift shops for people of all ages in Los Angeles County.",93534,http://egis3.lacounty.gov/lms/?p=57287,publish,34.703081,-118.137546,2013-06-01T11:50:56.000Z,,6520330.08323489,2078274.88801715
-118.240389055950743,34.044048967098107,96229026,211,,Social Services,Homeless Shelters and Services,,NULL,Los Angeles Centers For Alcohol And Drug Abuse - Homeless Outreach Project,612 E. 4th St.,,Los Angeles,CA,,Service/Intake (213) 626-6411,,NULL,,,57298,"The agency provides domestic violence services, HIV/AIDS services, residential treatment for drug abuse services, and substance abuse services for adults and adolescents.",90013,http://egis3.lacounty.gov/lms/?p=57298,publish,34.044049,-118.240389,2013-06-01T11:50:56.000Z,,6488846.51890555,1838497.74880598
-118.288082455380589,33.73937767762515,96229116,211,,Social Services,Homeless Shelters and Services,,www.jointefforts.org,Joint Efforts Inc,505 S Pacific Ave,,San Pedro,CA,,"FAX (310) 831-2356,  TDD (310) 831-6948,  Service/Intake and Administration (310) 831-2358",,www.jointefforts.org,,,57357,"The agency provides substance abuse services to people in the South Bay, Harbor Gateway and Long Beach areas.",90731,http://egis3.lacounty.gov/lms/?p=57357,publish,33.73937771,-118.2880824,2013-06-01T11:50:56.000Z,,6474080.47494689,1727658.95998532
-118.137311057694689,34.702936995994023,96229171,211,,Social Services,Homeless Shelters and Services,,www.graceresources.org,Grace Resources Inc,45134 Sierra Hwy,,Lancaster,CA,"Monday through Friday, 9:00am to 5:00pm. ","FAX (661) 940-5274,  Service/Intake (661) 940-5272",,www.graceresources.org,,,57403,"The agency provides education services, emergency food, holiday assistance, personal goods and a thrift shop for people who live in the Antelope Valley, including people who are homeless and undocumented.",93534,http://egis3.lacounty.gov/lms/?p=57403,publish,34.70293703,-118.137311,2013-06-01T11:50:56.000Z,,6520400.64214888,2078222.39632423
-118.091140057126353,34.074902966547761,96229200,211,,Social Services,Homeless Shelters and Services,,NULL,St. Anthony's Christian Service,1901 S. San Gabriel Blvd.,,San Gabriel,CA,"Monday through Friday, 9:00am to 12:00pm and 1:00pm to 7:30pm; Saturday, 9:00am to 12:00pm; Sunday, 9:00am to 12:00pm and 1:00pm to 2:30pm. ",Service/Intake and Administration (626) 288-8912,,,,,57430,The agency provides emergency food and holiday assistance to people who live within the parish boundaries which are Valley Blvd.,91776,http://egis3.lacounty.gov/lms/?p=57430,publish,34.074903,-118.09114,2013-06-01T11:50:56.000Z,,6534070.3959773,1849651.55031723
-118.569239056020706,34.224697966790167,96229202,211,,Social Services,Homeless Shelters and Services,,www.our-redeemer.org,Redeemer Lutheran Outreach,20025 Chase St.,,Winnetka,CA,,"Administrative (818) 341-3460,  Service/Intake (818) 341-1629,  FAX (818) 341-1634",,www.our-redeemer.org,,,57431,"The agency provides emergency food and homeless support services for low-income people who live in Canoga Park, Chatsworth, Granada Hills, Northridge, Reseda, Tarzana and Winnetka.",91306,http://egis3.lacounty.gov/lms/?p=57431,publish,34.224698,-118.569239,2013-06-01T11:50:56.000Z,,6389597.25250947,1904639.41901581
-118.334459056749282,34.099587967173541,96229263,211,,Social Services,Homeless Shelters and Services,,www.hollywoodsocialservices.org,Social Services At Blessed Sacrament Inc,6636 Selma Ave.,,Los Angeles,CA,,"Service/Intake and Administration (323) 871-8042,  FAX (323) 464-7796",,www.hollywoodsocialservices.org,,,57493,The agency provides homeless support services for people who live in Los Angeles County.,90028,http://egis3.lacounty.gov/lms/?p=57493,publish,34.099588,-118.334459,2013-06-01T11:50:56.000Z,,6460416.15089764,1858790.82862656
